saison,ecurie,nom_historique,budget_plafonne_musd,budget_total_estime_musd,prize_money_musd,source_principale,fiabilite,notes
2019,Kick Sauber,Alfa Romeo,,135,,RaceFans,MOYENNE,Sauber sous nom Alfa Romeo
2019,Racing Bulls,Toro Rosso,,150,,RaceFans,MOYENNE,
2019,Haas,Haas,,145,,RaceFans,MOYENNE,
2020,Mercedes,Mercedes,,440,,Estimation,FAIBLE,Année COVID - réductions
2020,Ferrari,Ferrari,,410,,Estimation,FAIBLE,Année COVID
2020,Red Bull,Red Bull,,395,,Estimation,FAIBLE,Année COVID
2020,McLaren,McLaren,,200,,Estimation,FAIBLE,Année COVID
2020,Williams,Williams,,115,,Estimation,FAIBLE,Vente à Dorilton Capital
2020,Alpine,Renault,,250,,Estimation,FAIBLE,Année COVID
2020,Aston Martin,Racing Point,,140,,Estimation,FAIBLE,
2020,Kick Sauber,Alfa Romeo,,125,,Estimation,FAIBLE,
2020,Racing Bulls,AlphaTauri,,145,,Estimation,FAIBLE,Toro Rosso renommé AlphaTauri
2020,Haas,Haas,,135,,Estimation,FAIBLE,
2021,Mercedes,Mercedes,145,295,,FIA + estimation,MOYENNE,Cost cap respecté + ~150M$ exclus
2021,Ferrari,Ferrari,145,290,,FIA + estimation,MOYENNE,Cost cap respecté + ~145M$ exclus
2021,Red Bull,Red Bull,147,300,,FIA,HAUTE,Dépassement mineur 1.6% - sanction 7M$ + reduction soufflerie
2021,McLaren,McLaren,145,260,,FIA + estimation,MOYENNE,
2021,Williams,Williams,140,200,,FIA + estimation,MOYENNE,
2021,Alpine,Alpine,145,235,,FIA + estimation,MOYENNE,Renault renommé Alpine
2021,Aston Martin,Aston Martin,145,235,,FIA,MOYENNE,Racing Point devient Aston Martin - infraction procédurale 450k$
2021,Kick Sauber,Alfa Romeo,140,195,,FIA + estimation,MOYENNE,
2021,Racing Bulls,AlphaTauri,140,200,,FIA + estimation,MOYENNE,
2021,Haas,Haas,135,180,,FIA + estimation,MOYENNE,
2022,Mercedes,Mercedes,145.5,295,,FIA + estimation,HAUTE,Plafond effectif avec indexation
2022,Ferrari,Ferrari,145.5,290,,FIA + estimation,HAUTE,
2022,Red Bull,Red Bull,140,290,,FIA,HAUTE,Pénalité soufflerie active suite breach 2021
2022,McLaren,McLaren,145.5,260,,FIA + estimation,MOYENNE,
2022,Williams,Williams,145.5,205,,FIA + estimation,MOYENNE,
2022,Alpine,Alpine,145.5,240,,FIA + estimation,MOYENNE,
2022,Aston Martin,Aston Martin,145.5,240,,FIA + estimation,MOYENNE,
2022,Kick Sauber,Alfa Romeo,145.5,200,,FIA + estimation,MOYENNE,
2022,Racing Bulls,AlphaTauri,145.5,205,,FIA + estimation,MOYENNE,
2022,Haas,Haas,140,185,,FIA + estimation,MOYENNE,
2023,Mercedes,Mercedes,153,310,,FIA + estimation,HAUTE,Plafond effectif 153M$ avec indexation
2023,Ferrari,Ferrari,153,305,,FIA + estimation,HAUTE,
2023,Red Bull,Red Bull,153,310,,FIA + estimation,HAUTE,Pénalité soufflerie expirée
2023,McLaren,McLaren,153,275,,FIA + estimation,MOYENNE,
2023,Williams,Williams,153,215,,FIA + estimation,MOYENNE,
2023,Alpine,Alpine,153,250,,FIA + estimation,MOYENNE,
2023,Aston Martin,Aston Martin,153,250,,FIA + estimation,MOYENNE,
2023,Kick Sauber,Alfa Romeo,153,210,,FIA + estimation,MOYENNE,
2023,Racing Bulls,AlphaTauri,153,215,,FIA + estimation,MOYENNE,
2023,Haas,Haas,153,195,,FIA + estimation,MOYENNE,
2024,Mercedes,Mercedes,165.5,325,,FIA,HAUTE,Plafond effectif avec 24 GP + 6 sprints
2024,Ferrari,Ferrari,165.5,320,,FIA,HAUTE,
2024,Red Bull,Red Bull,165.5,325,,FIA,HAUTE,
2024,McLaren,McLaren,165.5,290,,FIA,HAUTE,Champion constructeurs 2024
2024,Williams,Williams,165.5,230,,FIA,MOYENNE,
2024,Alpine,Alpine,165.5,265,,FIA,MOYENNE,
2024,Aston Martin,Aston Martin,165.5,265,,FIA,MOYENNE,Infraction procédurale liée retard - pas de sanction financiere
2024,Kick Sauber,Kick Sauber,165.5,225,,FIA,MOYENNE,Alfa Romeo renommé Kick Sauber
2024,Racing Bulls,RB,165.5,230,,FIA,MOYENNE,AlphaTauri renommé RB
2024,Haas,Haas,165.5,210,,FIA,MOYENNE,
2025,McLaren,McLaren,170,310,132.9,FIA + Forbes,HAUTE,Champion constructeurs - prize money confirmé
2025,Ferrari,Ferrari,170,330,124.4,FIA + Forbes,HAUTE,
2025,Red Bull,Red Bull,170,330,115.8,FIA + Forbes,HAUTE,
2025,Mercedes,Mercedes,170,335,107.3,FIA + Forbes,HAUTE,
2025,Aston Martin,Aston Martin,170,275,98.8,FIA + Forbes,HAUTE,
2025,Williams,Williams,170,240,,FIA + estimation,MOYENNE,
2025,Alpine,Alpine,170,275,,FIA + estimation,MOYENNE,
2025,Racing Bulls,Racing Bulls,170,240,,FIA + estimation,MOYENNE,RB renommé Racing Bulls
2025,Haas,Haas,170,220,,FIA + estimation,MOYENNE,
2025,Kick Sauber,Kick Sauber,170,235,57.9,FIA + Forbes,HAUTE,Dernière saison avant Audi
